127.0.0.1, 2015-09-16 20:31:59, GET, /admin, HTTP/1.1, 200, 1.798240
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.001696
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.015458
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.000587
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001306
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000547
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001535
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000715
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000608
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000524
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000647
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000920
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.028564
127.0.0.1, 2015-09-16 20:31:59, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.023631
127.0.0.1, 2015-09-16 20:32:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2015-09-16 20:32:03, POST, /admin/default/index, HTTP/1.1, 303, 0.140831
127.0.0.1, 2015-09-16 20:32:03, GET, /admin/default/site, HTTP/1.1, 200, 0.329423
127.0.0.1, 2015-09-16 20:32:04, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.000666
127.0.0.1, 2015-09-16 20:32:04, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.000522
127.0.0.1, 2015-09-16 20:32:04, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000585
127.0.0.1, 2015-09-16 20:32:05, POST, /admin/default/check_version, HTTP/1.1, 200, 1.577331
127.0.0.1, 2015-09-16 20:32:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000355
127.0.0.1, 2015-09-16 20:32:08, POST, /admin/default/site, HTTP/1.1, 303, 0.311712
127.0.0.1, 2015-09-16 20:32:08, GET, /admin/default/design/init, HTTP/1.1, 200, 0.311460
127.0.0.1, 2015-09-16 20:32:09, GET, /admin/static/_2.12.3/images/search.png, HTTP/1.1, 200, 0.000598
127.0.0.1, 2015-09-16 20:32:09, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2015-09-16 20:32:09, GET, /admin/static/_2.12.3/images/delete_icon.png, HTTP/1.1, 200, 0.000558
127.0.0.1, 2015-09-16 20:32:09, GET, /admin/static/_2.12.3/images/test_icon.png, HTTP/1.1, 200, 0.000550
127.0.0.1, 2015-09-16 20:32:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000408
127.0.0.1, 2015-09-16 20:32:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2015-09-16 20:32:15, GET, /admin/default/edit/init/private/appconfig.ini, HTTP/1.1, 200, 0.139054
127.0.0.1, 2015-09-16 20:32:15, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.044872
127.0.0.1, 2015-09-16 20:32:15, GET, /admin/static/_2.12.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.014290
127.0.0.1, 2015-09-16 20:32:15, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000641
127.0.0.1, 2015-09-16 20:32:15, GET, /admin/static/_2.12.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.008460
127.0.0.1, 2015-09-16 20:32:15, GET, /admin/static/_2.12.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.010447
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.013283
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002406
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001262
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000958
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000990
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000557
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000586
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.015644
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003318
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001039
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000959
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000655
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000554
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.008964
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.008348
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000569
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001248
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000573
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000565
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000601
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000608
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001161
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000557
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000986
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000566
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/js/ajax_editor.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000565
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000565
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/images/files_toggle.png, HTTP/1.1, 200, 0.000633
127.0.0.1, 2015-09-16 20:32:16, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000594
127.0.0.1, 2015-09-16 20:32:17, GET, /admin/default/edit/init/private/appconfig.ini, HTTP/1.1, 200, 0.309147
127.0.0.1, 2015-09-16 20:32:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000448
127.0.0.1, 2015-09-16 20:32:17, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.415536
127.0.0.1, 2015-09-16 20:32:17, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.799974
127.0.0.1, 2015-09-16 20:32:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.987897
127.0.0.1, 2015-09-16 20:32:18, GET, /admin/static/_2.12.3/images/save_icon.png, HTTP/1.1, 200, 0.000629
127.0.0.1, 2015-09-16 20:32:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.802636
127.0.0.1, 2015-09-16 20:32:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000393
127.0.0.1, 2015-09-16 20:32:19, GET, /init/appadmin/hooks, HTTP/1.1, 200, 2.100504
127.0.0.1, 2015-09-16 20:33:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.126109
127.0.0.1, 2015-09-16 20:33:19, GET, /init/appadmin/hooks, HTTP/1.1, 200, 2.267013
127.0.0.1, 2015-09-16 20:33:43, POST, /admin/default/edit/init/private/appconfig.ini, HTTP/1.1, 200, 0.088739
127.0.0.1, 2015-09-16 20:34:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.122158
127.0.0.1, 2015-09-16 20:35:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.161927
127.0.0.1, 2015-09-16 20:36:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064662
127.0.0.1, 2015-09-16 20:36:37, GET, /, HTTP/1.1, 500, 156.081637
127.0.0.1, 2015-09-16 20:36:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001086
127.0.0.1, 2015-09-16 20:36:53, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.704797
127.0.0.1, 2015-09-16 20:37:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085903
127.0.0.1, 2015-09-16 20:38:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.573739
127.0.0.1, 2015-09-16 20:38:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072995
127.0.0.1, 2015-09-16 20:39:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.700094
127.0.0.1, 2015-09-16 20:39:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079232
127.0.0.1, 2015-09-16 20:39:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.613990
127.0.0.1, 2015-09-16 20:40:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.103035
127.0.0.1, 2015-09-16 20:41:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.584613
127.0.0.1, 2015-09-16 20:41:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.086035
127.0.0.1, 2015-09-16 20:42:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.633598
127.0.0.1, 2015-09-16 20:42:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.089475
127.0.0.1, 2015-09-16 20:42:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.702036
127.0.0.1, 2015-09-16 20:43:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099388
127.0.0.1, 2015-09-16 20:44:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.552104
127.0.0.1, 2015-09-16 20:44:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.123089
127.0.0.1, 2015-09-16 20:45:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.571499
127.0.0.1, 2015-09-16 20:45:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.118706
127.0.0.1, 2015-09-16 20:45:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.642638
127.0.0.1, 2015-09-16 20:46:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.138274
127.0.0.1, 2015-09-16 20:47:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.572254
127.0.0.1, 2015-09-16 20:47:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.119691
127.0.0.1, 2015-09-16 20:48:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.601458
127.0.0.1, 2015-09-16 20:48:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078533
127.0.0.1, 2015-09-16 20:48:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.652130
127.0.0.1, 2015-09-16 20:49:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.096741
127.0.0.1, 2015-09-16 20:50:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.638561
127.0.0.1, 2015-09-16 20:50:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074441
127.0.0.1, 2015-09-16 20:51:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.584142
127.0.0.1, 2015-09-16 20:51:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099216
127.0.0.1, 2015-09-16 20:51:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.660004
127.0.0.1, 2015-09-16 20:52:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.339047
127.0.0.1, 2015-09-16 20:53:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.610517
127.0.0.1, 2015-09-16 20:53:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109760
127.0.0.1, 2015-09-16 20:54:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.699254
127.0.0.1, 2015-09-16 20:54:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.143248
127.0.0.1, 2015-09-16 20:54:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.942073
127.0.0.1, 2015-09-16 20:55:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.090232
127.0.0.1, 2015-09-16 20:56:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.710161
127.0.0.1, 2015-09-16 20:56:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077268
127.0.0.1, 2015-09-16 20:57:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.746189
127.0.0.1, 2015-09-16 20:57:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.458869
127.0.0.1, 2015-09-16 20:57:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.657305
127.0.0.1, 2015-09-16 20:58:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.309099
127.0.0.1, 2015-09-16 20:59:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.735730
127.0.0.1, 2015-09-16 20:59:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.111439
127.0.0.1, 2015-09-16 21:00:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.623051
127.0.0.1, 2015-09-16 21:00:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.104546
127.0.0.1, 2015-09-16 21:00:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 156.187244
127.0.0.1, 2015-09-16 21:01:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.147835
127.0.0.1, 2015-09-16 21:02:14, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.669360
127.0.0.1, 2015-09-16 21:02:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.112924
127.0.0.1, 2015-09-16 21:03:16, GET, /init/appadmin/hooks, HTTP/1.1, 500, 157.530197
127.0.0.1, 2015-09-16 21:03:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.188451
127.0.0.1, 2015-09-16 21:03:54, GET, /init/appadmin/hooks, HTTP/1.1, 500, 155.867327
127.0.0.1, 2015-09-16 21:05:33, GET, /init/appadmin/hooks, HTTP/1.1, 500, 175.329186
127.0.0.1, 2015-09-16 21:05:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 64.958861
127.0.0.1, 2015-09-16 21:05:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.258627
127.0.0.1, 2015-09-16 21:05:52, GET, /init/appadmin/hooks, HTTP/1.1, 200, 74.535708
127.0.0.1, 2015-09-16 21:05:52, GET, /init/appadmin/hooks, HTTP/1.1, 200, 134.164321
127.0.0.1, 2015-09-16 21:05:53, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.895668
127.0.0.1, 2015-09-16 21:06:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.173053
127.0.0.1, 2015-09-16 21:06:28, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.523744
